symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,sharesOutstanding,timestamp,data_load_date
KO,The Coca-Cola Company,71.345,-0.70285,-0.505,70.965,71.985,74.38,60.62,3.07088E+11,70.9778,67.90195,NYSE,6534441,18571935,71.84,71.85,2.49,28.65,4304270000,1747941204,2025-05-22
PLTR,Palantir Technologies Inc.,124.69,3.40853,4.11,121.375,126.33,133.49,20.63,2.94257E+11,100.8978,70.59605,NASDAQ,62633086,108497298,121.93,120.58,0.23,542.13,2359909890,1747941206,2025-05-22
TMUS,"T-Mobile US, Inc.",240.45,-0.12876,-0.31,239.445,242.06,276.49,164.21,2.73019E+11,253.2112,231.47435,NASDAQ,1608943,4502754,241.53,240.76,10.25,23.46,1135450000,1747941203,2025-05-22
CRM,"Salesforce, Inc.",285.76,1.23282,3.48,281.0296,286.35,369,212,2.74179E+11,270.2186,294.87125,NYSE,3578758,6895488,282.5,282.28,6.37,44.86,959474000,1747941206,2025-05-22
PM,Philip Morris International Inc.,176.06,0.8131,1.42,173.15,176.085,176.49,98.93,2.74041E+11,161.5808,136.73335,NYSE,2815151,6641906,174.64,174.64,6.36,27.68,1556520000,1747941205,2025-05-22
WFC,Wells Fargo & Company,73.745,0.7583,0.555,72.48,73.82,81.5,50.15,2.3998E+11,70.2414,67.89615,NYSE,6343199,18924582,73.14,73.19,5.56,13.26,3254180000,1747941197,2025-05-22
CSCO,"Cisco Systems, Inc.",63.6671,0.73908,0.4671,62.9501,63.715,66.5,44.5,2.53286E+11,59.2198,57.1893,NASDAQ,8248422,23779403,63.405,63.2,2.45,25.99,3978290000,1747941203,2025-05-22
CVX,Chevron Corporation,135.755,0.14385,0.195,133.77,135.76,168.96,132.04,2.37081E+11,146.5204,150.05264,NYSE,5761522,9720898,134.99,135.56,8.74,15.53,1746390000,1747941195,2025-05-22
IBM,International Business Machines Corporation,260.285,-0.22425,-0.585,259.26,261.2711,269.28,163.53,2.41908E+11,245.7604,229.4223,NYSE,1584495,4869970,260.27,260.87,5.85,44.49,929397000,1747941201,2025-05-22
ABT,Abbott Laboratories,131.8699,-0.88696,-1.1801,131.175,132.88,141.23,99.71,2.29433E+11,129.799,121.2109,NYSE,4514346,7309461,132.46,133.05,7.71,17.1,1739840000,1747941204,2025-05-22
GE,General Electric Company,231.295,-0.96129,-2.245,229.42,232.39,237.3,150.2,2.46651E+11,201.5048,186.91985,NYSE,4550200,5956787,231.19,233.54,6.33,36.54,1066390000,1747941203,2025-05-22
MCD,McDonald's Corporation,314.7913,-0.52102,-1.6487,312.63,316.59,326.32,243.53,2.25086E+11,310.9432,298.93924,NYSE,1518545,3783798,316.64,316.44,11.33,27.78,715033000,1747941189,2025-05-22
NOW,"ServiceNow, Inc.",1023.22,0.83369,8.46,1012.94,1027.245,1198.09,637.99,2.11807E+11,878.0382,944.52625,NYSE,560405,1982332,1012.94,1014.76,7.36,139.02,207000000,1747941178,2025-05-22
AXP,American Express Company,288.53,0.88462,2.53,285.065,288.59,326.27,220.43,2.02141E+11,268.8636,279.61044,NYSE,1196347,3495890,285.63,286,14.33,20.13,700589000,1747941199,2025-05-22
MS,Morgan Stanley,126.78,1.18117,1.48,124.605,126.88,142.03,90.94,2.03396E+11,117.0054,118.9322,NYSE,2656433,8107445,124.605,125.3,8.53,14.86,1604320000,1747941203,2025-05-22
ISRG,"Intuitive Surgical, Inc.",545.515,-0.28424,-1.555,540.7875,545.9,616,396.15,1.95522E+11,509.2526,521.09216,NASDAQ,653779,2285164,544.185,547.07,6.84,79.75,358418000,1747941206,2025-05-22
MRK,"Merck & Co., Inc.",78.115,1.47441,1.135,76.6801,78.35,134.63,73.31,1.96149E+11,83.3424,98.48125,NYSE,7541990,16798461,76.72,76.98,6.88,11.35,2511030000,1747941207,2025-05-22
DIS,The Walt Disney Company,111.71,1.13163,1.25,109.975,111.74,118.63,80.1,2.00827E+11,96.195,100.99385,NYSE,4122044,11521291,109.9,110.46,4.9,22.8,1797750000,1747941197,2025-05-22
VZ,Verizon Communications Inc.,43.34,-0.93714,-0.41,43.2125,43.84,47.36,37.59,1.82733E+11,43.6386,42.27395,NYSE,6684722,24408885,43.75,43.75,4.2,10.32,4216260000,1747941206,2025-05-22
INTU,Intuit Inc.,666.4759,0.98426,6.4959,660.38,667.554,714.78,532.65,1.86321E+11,613.9692,622.8588,NASDAQ,1042728,1830688,662.51,659.98,10.69,62.35,279562000,1747941205,2025-05-22
PEP,"PepsiCo, Inc.",130.435,0.21898,0.285,128.8244,130.7,181.89,127.87,1.78837E+11,140.6772,156.7114,NASDAQ,4623117,8134838,130.02,130.15,6.8,19.18,1371080000,1747941207,2025-05-22
TMO,Thermo Fisher Scientific Inc.,401.01,0.68545,2.73,393.93,401.27,627.88,390.5,1.51379E+11,452.5942,537.3941,NYSE,2013908,2610766.5,394.65,398.28,17.05,23.52,377494000,1747941203,2025-05-22
AMD,"Advanced Micro Devices, Inc.",111.84,-0.19632,-0.22,110.94,112.64,187.28,76.48,1.81337E+11,100.4874,126.71915,NASDAQ,23170677,43078089.9,111.9,112.06,1.37,81.64,1621400000,1747941207,2025-05-22
ADBE,Adobe Inc.,416.5711,0.61375,2.5411,412.51,418.195,587.75,332.01,1.77543E+11,379.6486,463.33234,NASDAQ,1220952,3866093,412.51,414.03,15.16,27.48,426200000,1747941206,2025-05-22
CAT,Caterpillar Inc.,346.78,1.24668,4.27,340.59,346.86,418.5,267.3,1.63096E+11,321.0226,357.3943,NYSE,1181259,2961548,341.3,342.51,20.52,16.9,470315000,1747941204,2025-05-22
TXN,Texas Instruments Incorporated,181.6865,-2.01354,-3.7335,180.33,186.415,220.39,139.95,1.65057E+11,169.2668,190.1357,NASDAQ,5174510,8319309,185.94,185.42,5.28,34.41,908472000,1747941205,2025-05-22
AMGN,Amgen Inc.,271.4558,0.04267708,0.1158,269.1,272.06,346.85,253.3,1.45963E+11,290.4686,299.7091,NASDAQ,1124126,3156950,271.34,271.34,10.96,24.77,537706000,1747941205,2025-05-22
SYK,Stryker Corporation,380.28,0.13957,0.53,375.86,380.43,406.19,314.93,1.4533E+11,368.8916,369.30984,NYSE,646195,1661750,378.14,379.75,7.41,51.32,382165000,1747941198,2025-05-22
WMT,Walmart Inc.,96.28,-0.15555,-0.15,95.91,96.96,105.3,64.16,7.70326E+11,91.7622,87.98095,NYSE,8277618,23430817,96.54,96.43,2.34,41.15,8000890000,1747941206,2025-05-22
